t , y
0.0 , [1.]
0.14285714285714285 , [0.97959184]
0.2857142857142857 , [0.92084081]
0.42857142857142855 , [0.8307127]
0.5714285714285714 , [0.71930516]
0.7142857142857142 , [0.59797297]
0.857142857142857 , [0.47743198]
0.9999999999999998 , [0.36627643]
1.1428571428571426 , [0.27016891]
1.2857142857142854 , [0.19174004]
1.4285714285714282 , [0.13104765]
1.571428571428571 , [0.08634626]
1.7142857142857137 , [0.05491493]
1.8571428571428565 , [0.03375861]
1.9999999999999993 , [0.02009207]
2.1428571428571423 , [0.01159834]
2.285714285714285 , [0.00650686]
2.428571428571428 , [0.0035556]
2.5714285714285707 , [0.00189701]
2.7142857142857135 , [0.00099078]
2.8571428571428563 , [0.00050797]
2.999999999999999 , [0.00025642]
3.142857142857142 , [0.00012784]
3.2857142857142847 , [6.31460352e-05]
3.4285714285714275 , [3.100757e-05]
3.5714285714285703 , [1.51873812e-05]
3.714285714285713 , [7.44504276e-06]
3.857142857142856 , [3.66515641e-06]
3.9999999999999987 , [1.81807634e-06]
4.1428571428571415 , [9.11688426e-07]
4.285714285714285 , [4.63628308e-07]
4.428571428571428 , [2.39827721e-07]
4.571428571428571 , [1.26556319e-07]
4.714285714285714 , [6.83119492e-08]
4.857142857142858 , [3.78119869e-08]
5.000000000000001 , [2.1512359e-08]
5.142857142857144 , [1.26063678e-08]
5.285714285714287 , [7.62367601e-09]
5.428571428571431 , [4.76598821e-09]
5.571428571428574 , [3.08469208e-09]
5.714285714285717 , [2.06973717e-09]
5.85714285714286 , [1.44131634e-09]
6.0000000000000036 , [1.04271824e-09]
6.142857142857147 , [7.84318674e-10]
6.28571428571429 , [6.13800412e-10]
6.428571428571433 , [5.00038986e-10]
6.5714285714285765 , [4.24231326e-10]
6.71428571428572 , [3.74934975e-10]
6.857142857142863 , [3.45264985e-10]
7.000000000000006 , [3.31316337e-10]
7.1428571428571495 , [3.31316337e-10]
7.285714285714293 , [3.45253426e-10]
7.428571428571436 , [3.74875336e-10]
7.571428571428579 , [4.24057231e-10]
7.714285714285722 , [4.99649274e-10]
7.857142857142866 , [6.13064041e-10]
8.000000000000009 , [7.83118456e-10]
8.142857142857151 , [1.04111375e-09]
8.285714285714294 , [1.44004113e-09]
8.428571428571436 , [2.07159603e-09]
8.571428571428578 , [3.09833459e-09]
8.71428571428572 , [4.81590366e-09]
8.857142857142863 , [7.77645086e-09]
9.000000000000005 , [1.30395632e-08]
9.142857142857148 , [2.26956828e-08]
9.28571428571429 , [4.09864559e-08]
9.428571428571432 , [7.67663858e-08]
9.571428571428575 , [1.49056598e-07]
9.714285714285717 , [2.99913545e-07]
9.85714285714286 , [6.25059301e-07]
10.000000000000002 , [1.34878477e-06]
