t , y
0.0 , 1.0, 0.0
0.05005005005005005 , 0.8116381921571453, 0.09788111981561823
0.1001001001001001 , 0.6443189949755022, 0.192443892478748
0.15015015015015015 , 0.4946117291747062, 0.2852191570781254
0.2002002002002002 , 0.35957970424475844, 0.37761471676400193
0.2502502502502503 , 0.2365022972206321, 0.4710148737198203
0.3003003003003003 , 0.12287325247219105, 0.5667810320482995
0.3503503503503504 , 0.01644571209296619, 0.6662439276158129
0.4004004004004004 , -0.08457577155633428, 0.7706400377062985
0.45045045045045046 , -0.18182254969068412, 0.881218280876593
0.5005005005005005 , -0.2768904529422817, 0.9992989941584935
0.5505505505505506 , -0.3713399102679423, 1.126274024943325
0.6006006006006006 , -0.4666958494792385, 1.263606759657574
0.6506506506506506 , -0.5643571632672242, 1.4128249414578458
0.7007007007007008 , -0.6655411303545534, 1.5754949089881145
0.7507507507507508 , -0.7715072658936419, 1.7533232683834947
0.8008008008008008 , -0.8835746696739133, 1.9481883375338915
0.8508508508508509 , -1.0031220261217992, 2.1621401460839995
0.9009009009009009 , -1.1315876043007382, 2.397400435433302
0.9509509509509511 , -1.2704954695702617, 2.656426803015119
1.001001001001001 , -1.4213269420098562, 2.9418271210007028
1.0510510510510511 , -1.5856080714734881, 3.2564082534742704
1.1011011011011012 , -1.7650541321882058, 3.6033515302916737
1.1511511511511512 , -1.961570144460033, 3.986213507311292
1.2012012012012012 , -2.1772508746739687, 4.408925966394035
1.2512512512512513 , -2.4143808352939855, 4.875795915403339
1.3013013013013013 , -2.6754342848630333, 5.39150558820517
1.3513513513513515 , -2.9631168859333115, 5.961212788626535
1.4014014014014016 , -3.2804323084674047, 6.590850609903052
1.4514514514514516 , -3.630355835410015, 7.286353478868288
1.5015015015015016 , -4.016291231702119, 8.054496080275975
1.5515515515515517 , -4.4421318559610405, 8.903022040271654
1.6016016016016017 , -4.912260660480463, 9.840643926392676
1.6516516516516517 , -5.431550191230416, 10.877043247568196
1.7017017017017018 , -6.00536258785728, 12.02287045411918
1.7517517517517518 , -6.639549583683793, 13.289744937758407
1.8018018018018018 , -7.340452505709042, 14.690255031590455
1.8518518518518519 , -8.114902274608463, 16.237958010111715
1.9019019019019021 , -8.970839004477906, 17.94867982802577
1.9519519519519521 , -9.917083910560281, 19.840135065844784
2.002002002002002 , -10.962215118067755, 21.929488701006694
2.052052052052052 , -12.116308406776216, 24.236894311507665
2.1021021021021022 , -13.390979618239458, 26.785581583611176
2.1521521521521523 , -14.799384655789186, 29.601856311847975
2.2022022022022023 , -16.356219484535007, 32.71510039901614
2.2522522522522523 , -18.07772013136444, 36.157771856181036
2.3023023023023024 , -19.981662684942915, 39.96540480267531
2.3523523523523524 , -22.087363295713754, 44.17660946609892
2.4024024024024024 , -24.415678175898208, 48.833072182319135
2.4524524524524525 , -26.989003599495405, 53.97955539547049
2.5025025025025025 , -29.831727583790812, 59.66480467851382
2.5525525525525525 , -32.975748753404204, 65.95264904647829
2.6026026026026026 , -36.45009929845563, 72.90117214881228
2.6526526526526526 , -40.28662215446522, 80.57406182913999
2.702702702702703 , -44.522785335296334, 89.04625517917944
2.752752752752753 , -49.20168193315541, 98.40393853874204
2.802802802802803 , -54.37203011859217, 108.74454749573314
2.852852852852853 , -60.088173140499535, 120.17676688615171
2.902902902902903 , -66.41007932611353, 132.82053079409042
2.9529529529529532 , -73.40334208101346, 146.8070225517356
3.0030030030030033 , -81.13917988912176, 162.27867473936726
3.0530530530530533 , -89.69443631270408, 179.38916918535918
3.1031031031031033 , -99.15157999236928, 198.3034369661787
3.1531531531531534 , -109.59870464706934, 219.19765840638695
3.2032032032032034 , -121.14541686187742, 242.291047260976
3.2532532532532534 , -133.9136792793756, 267.8275394067291
