t , y
0.0 , [1.]
0.14285714285714285 , [1.]
0.2857142857142857 , [0.95918367]
0.42857142857142855 , [0.88088297]
0.5714285714285714 , [0.77301975]
0.7142857142857142 , [0.64681244]
0.857142857142857 , [0.5148099]
0.9999999999999998 , [0.38873401]
1.1428571428571426 , [0.27766715]
1.2857142857142854 , [0.18700032]
1.4285714285714282 , [0.11830633]
1.571428571428571 , [0.07001803]
1.7142857142857137 , [0.03858136]
1.8571428571428565 , [0.01968437]
1.9999999999999993 , [0.0092396]
2.1428571428571423 , [0.00395983]
2.285714285714285 , [0.00153544]
2.428571428571428 , [0.00053271]
2.5714285714285707 , [0.00016307]
2.7142857142857135 , [4.32642608e-05]
2.8571428571428563 , [9.71238508e-06]
2.999999999999999 , [1.78390746e-06]
3.142857142857142 , [2.54843923e-07]
3.2857142857142847 , [2.6004482e-08]
3.4285714285714275 , [1.59211114e-09]
3.5714285714285703 , [3.24920641e-11]
3.714285714285713 , [-6.63103349e-13]
3.857142857142856 , [4.05981642e-14]
3.9999999999999987 , [-4.14266982e-15]
4.1428571428571415 , [5.91809974e-16]
4.285714285714285 , [-1.08699791e-16]
4.428571428571428 , [2.44019939e-17]
4.571428571428571 , [-6.47399839e-18]
4.714285714285714 , [1.98183624e-18]
4.857142857142858 , [-6.87575839e-19]
5.000000000000001 , [2.6661104e-19]
5.142857142857144 , [-1.14261874e-19]
5.285714285714287 , [5.36331246e-20]
5.428571428571431 , [-2.73638391e-20]
5.571428571428574 , [1.50780338e-20]
5.714285714285717 , [-8.92373428e-21]
5.85714285714286 , [5.64562781e-21]
6.0000000000000036 , [-3.8021575e-21]
6.142857142857147 , [2.71582679e-21]
6.28571428571429 , [-2.05072635e-21]
6.428571428571433 , [1.63221077e-21]
6.5714285714285765 , [-1.36572738e-21]
6.71428571428572 , [1.19849545e-21]
6.857142857142863 , [-1.10065909e-21]
7.000000000000006 , [1.05573423e-21]
7.1428571428571495 , [-1.05573423e-21]
7.285714285714293 , [1.09882542e-21]
7.428571428571436 , [-1.18852546e-21]
7.571428571428579 , [1.33405919e-21]
7.714285714285722 , [-1.55186477e-21]
7.857142857142866 , [1.86857186e-21]
8.000000000000009 , [-2.3261813e-21]
8.142857142857151 , [2.99080453e-21]
8.285714285714294 , [-3.96739376e-21]
8.428571428571436 , [5.42480371e-21]
8.571428571428578 , [-7.63900931e-21]
8.71428571428572 , [1.10687686e-20]
8.857142857142863 , [-1.64902063e-20]
9.000000000000005 , [2.52401116e-20]
9.142857142857148 , [-3.96630326e-20]
9.28571428571429 , [6.39465219e-20]
9.428571428571432 , [-1.05707516e-19]
9.571428571428575 , [1.79055588e-19]
9.714285714285717 , [-3.10606632e-19]
9.85714285714286 , [5.51485245e-19]
10.000000000000002 , [-1.00167728e-18]
