t , y
0.0 , [1.]
0.14285714285714285 , [0.97979867]
0.2857142857142857 , [0.92161038]
0.42857142857142855 , [0.83220736]
0.5714285714285714 , [0.72142228]
0.7142857142857142 , [0.60037383]
0.857142857142857 , [0.47965512]
0.9999999999999998 , [0.36788607]
1.1428571428571426 , [0.27088045]
1.2857142857142854 , [0.19148162]
1.4285714285714282 , [0.12994795]
1.571428571428571 , [0.08466736]
1.7142857142857137 , [0.05296427]
1.8571428571428565 , [0.03181213]
1.9999999999999993 , [0.01834744]
2.1428571428571423 , [0.0101618]
2.285714285714285 , [0.00540544]
2.428571428571428 , [0.00276199]
2.5714285714285707 , [0.0013559]
2.7142857142857135 , [0.00063967]
2.8571428571428563 , [0.00029009]
2.999999999999999 , [0.00012651]
3.142857142857142 , [5.30783409e-05]
3.2857142857142847 , [2.14364348e-05]
3.4285714285714275 , [8.33890358e-06]
3.5714285714285703 , [3.12694413e-06]
3.714285714285713 , [1.13130452e-06]
3.857142857142856 , [3.95319245e-07]
3.9999999999999987 , [1.33586127e-07]
4.1428571428571415 , [4.37158254e-08]
4.285714285714285 , [1.38768122e-08]
4.428571428571428 , [4.28077563e-09]
4.571428571428571 , [1.28602652e-09]
4.714285714285714 , [3.77133919e-10]
4.857142857142858 , [1.08242436e-10]
5.000000000000001 , [3.0493726e-11]
5.142857142857144 , [8.45873144e-12]
5.285714285714287 , [2.31827766e-12]
5.428571428571431 , [6.30058843e-13]
5.571428571428574 , [1.70466328e-13]
5.714285714285717 , [4.61006934e-14]
5.85714285714286 , [1.25147991e-14]
6.0000000000000036 , [3.42508697e-15]
6.142857142857147 , [9.49206253e-16]
6.28571428571429 , [2.67549727e-16]
6.428571428571433 , [7.70367307e-17]
6.5714285714285765 , [2.27558768e-17]
6.71428571428572 , [6.92440431e-18]
6.857142857142863 , [2.17908576e-18]
7.000000000000006 , [7.11840733e-19]
7.1428571428571495 , [2.42221524e-19]
7.285714285714293 , [8.61293281e-20]
7.428571428571436 , [3.2096785e-20]
7.571428571428579 , [1.25684603e-20]
7.714285714285722 , [5.1835246e-21]
7.857142857142866 , [2.25621513e-21]
8.000000000000009 , [1.03829243e-21]
8.142857142857151 , [5.05943715e-22]
8.285714285714294 , [2.61386157e-22]
8.428571428571436 , [1.43323725e-22]
8.571428571428578 , [8.34789119e-23]
8.71428571428572 , [5.16827506e-23]
8.857142857142863 , [3.40281563e-23]
9.000000000000005 , [2.38343598e-23]
9.142857142857148 , [1.7763596e-23]
9.28571428571429 , [1.40883182e-23]
9.428571428571432 , [1.18899923e-23]
9.571428571428575 , [1.06770646e-23]
9.714285714285717 , [1.01997472e-23]
9.85714285714286 , [1.03629606e-23]
10.000000000000002 , [1.11943618e-23]
